                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2983,                 4.5238,                 4.0633,                 3.7964,                0.08014,                0.14444,                0.03464,                0.01073,                0.07909,                0.14074,                0.03067,                0.00748,                 2.7263,                 4.2998,                 4.8916,                 3.0349,             0.00066247,             0.00066247,             0.00066247
                      1,                 2.8277,                 3.6708,                 3.3606,                 2.9486,                0.28148,                0.07546,                0.17703,                0.05404,                0.28832,                0.06296,                0.05428,                0.01447,                 2.2779,                  5.323,                 2.9603,                 2.6929,              0.0013265,              0.0013265,              0.0013265
                      2,                 2.4952,                 3.4544,                  2.751,                 2.6231,                  0.427,                0.34074,                0.34344,                0.12276,                0.42229,                0.31852,                0.29563,                 0.1033,                 2.1263,                 3.4764,                 4.1574,                 2.4174,              0.0019879,              0.0019879,              0.0019879
                      3,                 2.1887,                 3.2469,                  2.258,                  2.327,                0.68211,                0.37778,                0.45838,                0.20303,                0.66313,                0.34997,                0.40887,                0.16382,                 2.0428,                 3.6656,                  2.234,                 2.3482,              0.0019881,              0.0019881,              0.0019881
                      4,                 2.0361,                 3.0796,                 1.9594,                 2.1323,                0.65993,                0.53186,                0.60056,                0.31318,                0.61888,                0.49919,                0.55082,                0.27607,                  1.812,                 3.0816,                 1.7727,                 2.0797,              0.0019881,              0.0019881,              0.0019881
                      5,                 1.8928,                 2.8825,                 1.7839,                 2.0082,                 0.7452,                0.59577,                0.63623,                0.33137,                0.66979,                0.57095,                 0.5659,                0.28288,                 1.7342,                 2.9987,                 1.8288,                 1.9763,              0.0019842,              0.0019842,              0.0019842
                      6,                 1.8235,                 2.8055,                 1.7636,                 1.9389,                0.56205,                0.42303,                0.49074,                0.26081,                0.57815,                0.40741,                0.47555,                0.25538,                 1.8445,                 3.0726,                  2.134,                 2.1217,              0.0019802,              0.0019802,              0.0019802
                      7,                 1.8029,                 2.7692,                 1.6651,                 1.8994,                0.81045,                0.63342,                0.74366,                 0.4221,                0.78681,                0.60741,                0.70223,                0.36532,                 1.6002,                 2.7148,                 1.3887,                 1.8638,              0.0019762,              0.0019762,              0.0019762
                      8,                 1.7092,                 2.7019,                 1.6237,                 1.8316,                0.80213,                0.68519,                0.79438,                0.43369,                0.76744,                0.65556,                0.74297,                0.38569,                 1.5584,                 2.6275,                 1.5065,                 1.8273,              0.0019723,              0.0019723,              0.0019723
                      9,                 1.6667,                 2.6707,                 1.5991,                 1.7763,                0.72808,                0.59259,                0.67825,                0.37015,                0.68952,                  0.584,                0.62572,                0.33938,                 1.6648,                 2.7705,                 1.6073,                 1.8761,              0.0019683,              0.0019683,              0.0019683
